"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0426","0.15","","1.2834","0.9656","","",
"American Samoa","ASM","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","5.14905956245665","8.29315161380768","14.3218648887957","11.8517913807299","17.2751307182648","20.2413436879813","25.6953227864393","18.9949770310065","37.2517770517565","29.7609542417923","31.0280359848397","37.2314252607356","31.5359964535922","31.1167697102251","32.6318331694323","45.5021787612731","40.0448653247088","46.3918454500363","50.7874361441056","47.2849325786566","46.4684358955277","57.1959607220442","64.1297026031908","76.5472115594588","72.0150809090484","70.1855207212298","76.2012819614444","78.3809354270694","105.77245103777","122.791177337452","66.6831660030347","77.7823777846838","94.1825035534299","65.302671051665","57.6797555280849","54.5884424089317","63.233662300658","59.7842837827179","53.6442892676579","61.294484","56.0787081","71.265573","56.596079","64.8795975","","",
"Austria","AUT","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","5.1538065091807","6.39982933788432","4.96664295206518","0.487121649749218","4.38402522737324","5.38340806028599","5.32321312427777","4.84208574002438","8.67715865589111","7.63281707489449","17.4230043724302","17.9617419103806","17.4302276952844","19.8363561680983","108.024754199373","219.118152718016","31.7179420515931","24.0892773054781","25.1014363060796","30.4407356477862","42.4622452505672","32.3939513576858","32.7853349505677","694.428462644894","35.7726066266036","32.2889225467526","29.0175703797162","19.3795485335246","21.2938752654919","29.5383820706895","34.3189192173366","43.0409641401728","54.61455246111","128.639287338754","45.1538696941436","38.7509723724046","45.4885520640904","22.293726761601","22.5441676954496","29.6716211216554","33.0278463495497","32.8323154981445","26.2679759573687","33.7596","25.1543","30.1171","21.6376","30.3899","","",
"Azerbaijan","AZE","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0911","1.2284","0.4568","0.1557","","",
"Burundi","BDI","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","6.40003999955556","7.03187749001335","6.02448857436308","5.78068882144308","7.68880721226586","7.69982129134693","7.42271046864806","12.0765845861787","12.2048314270049","11.6887483754712","10.5953956935183","12.8593168887977","19.3274169355666","14.0135287198238","11.3429045278291","11.1321486670021","9.50737974170904","12.1220062740914","13.5380200993309","15.4440471122902","14.9830969109453","18.415014498497","20.7888484899471","24.1605603722046","27.4592825685822","21.144267892266","22.7779888207522","29.922200786851","23.8287903691687","27.4861479021467","36.9253773540627","34.140438879038","60.0617181132116","114.051712270317","47.4417344853639","39.9730372491653","45.0244362865391","33.6960449074801","30.8038918739165","28.3330126594545","","","","","","","","","","",
"Benin","BEN","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18896789485025","10.5598588096872","7.7903873908484","11.5550883220371","20.5446321891774","49.7058446741626","62.0130764157045","42.675783922853","26.689154656036","","","","6.2298271613918","6.14210284366713","8.10557028934724","12.4706191499582","11.1773033786247","11.624108204197","4.6634359709624","","2.41586049643706","23.0936498061364","20.7869269324238","21.7565538214112","30.7535674397691","20.858023","20.3781142","16.619752","38.010439","53.1284306","","",
"Bulgaria","BGR","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3333333333333","4.55486542443064","7.22394220846233","173.035714285714","","101.240299334812","5.65908869157967","3.1838252382059","85.5231143552311","22.6012970456183","6.62119969004968","16.3394497048806","15.3664646591763","18.0945804200884","31.3105799149516","14.8061690775887","5.62903537085253","5.11431112364364","3.89991821403689","","","","","","","1.3428","1.0651","1.2004","1.6972","2.2789","","",
"Bahrain","BHR","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.75040592254255","6.12138078946025","8.51485324032423","6.22153868503836","3.70511823801581","2.90173497992272","","2.77070549996416","2.30148033542946","4.04432640246199","6.53865400648317","3.85671331033452","10.445598036832","2.86718691872102","1.4335187961154","0.941111938251773","","","3.25274283075632","1.52739562008761","1.80304727645687","2.5937269396241","4.4363","2.8262","2.4097","1.9489","1.4241","","",
"Bahamas, The","BHS","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3597","1.5805","1.4838","","","","","0.2982","0.3056","","",
"Belize","BLZ","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.33737185461323","8.3268178264269","4.27310729215049","1.7485434550281","3.45888485163076","3.21680362202204","5.80722240922054","5.92872495066109","5.33380744955107","2.2783581705497","6.80869083683508","1.519872762387","1.96785257919161","3.00613496932515","1.47800784274546","0.827567567567568","8.11975228316843","1.43961100342432","2.0537","1.4764","11.0209","9.2408","6.1159","","",
"Bolivia","BOL","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.587583164638","34.6207997407183","31.0620185792961","30.0472109401073","34.4130549194728","36.0099301611337","39.3492113206461","47.1222478880531","96.2661408252558","52.9346074468419","58.7572539622807","67.1244324858093","67.7535515952452","72.4851238711253","76.3331896344352","85.6164253287096","73.5614432021955","67.0192100037238","83.8979","87.4818","138.9753","172.7864","162.6548","","",
"Barbados","BRB","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34597736310798","1.10658124635993","0.632602416500549","0.804450596808316","2.04140969162996","1.81523704155712","0.500486242767753","2.81858508200852","0.560605235944048","","","","","","","","","1.53666735267888","2.56550600763653","","","","","","","0.3168","0.4058","0.2251","","","","",
"Brunei Darussalam","BRN","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3079532604599","9.53518788671462","8.68201473902186","9.19780166017058","9.1510580695066","3.48961006863248","","","","","","","","","","","","","","","","","","","3.9275","4.4813","1.916","4.8628","0.2874","","",
