Date,Keqiang Index,recession,expansion,neutral
2023-07-31,7.592972498432403,0.0,0.0,1.0
2023-08-31,7.592972498432403,0.0,0.0,1.0
2023-09-30,7.592972498432403,0.0,0.0,1.0
2023-10-31,9.647865712206873,0.0,0.0,1.0
2023-11-30,9.647865712206873,0.0,0.0,1.0
2023-12-31,9.647865712206873,0.0,0.0,1.0
2024-04-30,6.687191125339682,0.0,0.0,1.0
2024-05-31,6.687191125339682,0.0,0.0,1.0
2024-06-30,6.687191125339682,0.0,0.0,1.0
2024-07-31,8.160735062141871,0.0,0.0,1.0
2024-08-31,8.160735062141871,0.0,0.0,1.0
2024-09-30,8.160735062141871,0.0,0.0,1.0
2024-10-31,6.671479026359814,0.0,0.0,1.0
2024-11-30,6.671479026359814,0.0,0.0,1.0
2024-12-31,6.671479026359814,0.0,0.0,1.0
